#,Handle,Product Name,Category,Design,Sale Price,Compare Price,Stock
1,nightrosary-wallet-skull-a-palooza,"""Nightrosary"" Wallet",Wallet,Nightrosary,13.95,49.95,644
2,nightrosary-mini-satchel-skull-a-palooza,"""Nightrosary"" Mini Satchel",Mini Satchel,Nightrosary,29.95,109.95,86
3,nightrosary-circle-crossbody-bag-skull-a-palooza,"""Nightrosary"" Circle Crossbody Bag",Circle Bag,Nightrosary,29.95,109.95,64
4,roselace-wallet-skull-a-palooza,"""Roselace"" Wallet",Wallet,Roselace,9.95,49.95,2510
5,roselace-mini-satchel-skull-a-palooza,"""Roselace"" Mini Satchel",Mini Satchel,Roselace,37.95,109.95,62
6,roselace-circle-crossbody-bag-skull-a-palooza,"""Roselace"" Circle Crossbody Bag",Circle Bag,Roselace,33.95,109.95,159
7,noxaria-eclipse-makeup-bag-skull-a-palooza,"""Noxaria"" Eclipse Makeup Bag",Makeup Bag,Noxaria,9.95,39.95,538
8,mournaire-wallet-skull-a-palooza,"""Mournaire"" Wallet",Wallet,Mournaire,9.95,49.95,1969
9,mournaire-mini-satchel-skull-a-palooza,"""Mournaire"" Mini Satchel",Mini Satchel,Mournaire,33.95,109.95,86
10,mournaire-circle-crossbody-bag-skull-a-palooza,"""Mournaire"" Circle Crossbody Bag",Circle Bag,Mournaire,29.95,109.95,173
11,noctaflora-wallet-skull-a-palooza,"""Noctaflora"" Wallet",Wallet,Noctaflora,11.95,49.95,4956
12,noctaflora-mini-satchel-skull-a-palooza,"""Noctaflora"" Mini Satchel",Mini Satchel,Noctaflora,31.95,109.95,95
13,noctaflora-circle-crossbody-bag-skull-a-palooza,"""Noctaflora"" Circle Crossbody Bag",Circle Bag,Noctaflora,39.95,109.95,315
14,heliovoid-wallet-skull-a-palooza,"""Heliovoid"" Wallet",Wallet,Heliovoid,12.95,49.95,466
15,heliovoid-mini-satchel-skull-a-palooza,"""Heliovoid"" Mini Satchel",Mini Satchel,Heliovoid,29.95,109.95,41
16,heliovoid-circle-crossbody-bag-skull-a-palooza,"""Heliovoid"" Circle Crossbody Bag",Circle Bag,Heliovoid,29.95,109.95,45
17,moonreaver-wallet-skull-a-palooza,"""Moonreaver"" Wallet",Wallet,Moonreaver,12.95,49.95,486
18,moonreaver-mini-satchel-skull-a-palooza,"""Moonreaver"" Mini Satchel",Mini Satchel,Moonreaver,39.95,109.95,47
19,moonreaver-circle-crossbody-bag-skull-a-palooza,"""Moonreaver"" Circle Crossbody Bag",Circle Bag,Moonreaver,37.95,109.95,50
20,gravebloom-wallet-skull-a-palooza,"""Gravebloom"" Wallet",Wallet,Gravebloom,12.95,49.95,506
21,gravebloom-mini-satchel-skull-a-palooza,"""Gravebloom"" Mini Satchel",Mini Satchel,Gravebloom,29.95,109.95,80
22,gravebloom-circle-crossbody-bag-skull-a-palooza,"""Gravebloom"" Circle Crossbody Bag",Circle Bag,Gravebloom,29.95,109.95,65
23,bloodrose-poison-ivy-wallet-skull-a-palooza,"""Bloodrose"" Poison Ivy Wallet",Wallet,"Bloodrose"" Poison Ivy",12.95,49.95,1767
24,bloodrose-poison-ivy-mini-satchel-skull-a-palooza,"""Bloodrose"" Poison Ivy Mini Satchel",Mini Satchel,"Bloodrose"" Poison Ivy",29.95,109.95,176
25,bloodrose-poison-ivy-circle-crossbody-bag-skull-a-palooza,"""Bloodrose"" Poison Ivy Circle Crossbody Bag",Circle Bag,"Bloodrose"" Poison Ivy",29.95,109.95,196
26,morthwing-wallet-skull-a-palooza,"""Morthwing"" Wallet",Wallet,Morthwing,11.95,49.95,269
27,catrinelle-wallet-skull-a-palooza,"""Catrinelle"" Wallet",Wallet,Catrinelle,11.95,49.95,2142
28,catrinelle-circle-crossbody-bag-skull-a-palooza,"""Catrinelle"" Circle Crossbody Bag",Circle Bag,Catrinelle,29.95,109.95,94
29,la-roja-wallet-skull-a-palooza,"""La Roja"" Wallet",Wallet,La Roja,9.95,49.95,2255
30,la-roja-mini-satchel-skull-a-palooza,"""La Roja"" Mini Satchel",Mini Satchel,La Roja,29.95,109.95,120
31,la-roja-circle-crossbody-bag-skull-a-palooza,"""La Roja"" Circle Crossbody Bag",Circle Bag,La Roja,29.95,109.95,175
32,bloodrose-poison-plum-wallet-skull-a-palooza,"""Bloodrose"" Poison Plum Wallet",Wallet,"Bloodrose"" Poison Plum",12.95,49.95,3728
33,bloodrose-poison-plum-mini-satchel-skull-a-palooza,"""Bloodrose"" Poison Plum Mini Satchel",Mini Satchel,"Bloodrose"" Poison Plum",29.95,109.95,163
34,bloodrose-poison-plum-circle-crossbody-bag-skull-a-palooza,"""Bloodrose"" Poison Plum Circle Crossbody Bag",Circle Bag,"Bloodrose"" Poison Plum",29.95,109.95,185
35,triskelion-wallet-skull-a-palooza,"""Triskelion"" Wallet",Wallet,Triskelion,13.95,49.95,646
36,triskelion-mini-satchel-skull-a-palooza,"""Triskelion"" Mini Satchel",Mini Satchel,Triskelion,29.95,109.95,88
37,triskelion-circle-crossbody-bag-skull-a-palooza,"""Triskelion"" Circle Crossbody Bag",Circle Bag,Triskelion,29.95,109.95,72
